dispatchDateTime,From location,Ticket #,isVoided,Customer #,Customer Job,Payment Type (A/C/X),Product #,Carrier #,Quantity,Unit price,Total price,Truck type,Ticket time,Tax total,Tax Code,weightCaptureInfo.auditWeight.value,inventoryProduct.netWeight.value
2026-03-24T16:07:32.425Z,,,False,,,,,1001,"{""value"": 26.22, ""uomCode"": ""STN""}",28,,,,,,,
2026-03-23T21:52:23.708Z,,,False,,,,,1002,"{""value"": 22.57, ""uomCode"": ""STN""}",18.5,,,,,,,
2026-03-23T20:34:16.110Z,,,False,,,,,1001,"{""value"": 28.92, ""uomCode"": ""STN""}",18.5,,,,,,,
2026-03-23T18:54:02.643Z,,,False,,,,,4560,"{""value"": 20, ""uomCode"": ""STN""}",18.5,,,,,,,
2026-03-23T18:18:18.215Z,,,False,,,,,HH105,"{""value"": 22.24, ""uomCode"": ""STN""}",20,,,,,,,
2026-03-23T18:10:42.192Z,,,False,,,,,HH101,"{""value"": 26.22, ""uomCode"": ""STN""}",20,,,,,,,
2026-03-23T18:00:04.534Z,,,False,,,,,1003,"{""value"": 23.3, ""uomCode"": ""STN""}",18.5,,,,,,,
2026-03-23T17:47:56.127Z,,,False,,,,,1014,"{""value"": 25.39, ""uomCode"": ""STN""}",18.5,,,,,,,
2026-03-23T17:45:10.141Z,,,False,,,,,1014,"{""value"": 25.39, ""uomCode"": ""STN""}",18.5,,,,,,,
2026-03-23T17:08:43.565Z,,,False,,,,,HH101,"{""value"": 26.22, ""uomCode"": ""STN""}",18.5,,,,,,,
2026-03-23T17:07:06.950Z,,,False,,,,,HH130,"{""value"": 25.72, ""uomCode"": ""STN""}",18.5,,,,,,,
2026-03-23T17:04:13.771Z,,,False,,,,,HH120,"{""value"": 24.72, ""uomCode"": ""STN""}",18.5,,,,,,,
2026-03-17T21:11:39.010Z,,,False,,,,,HH105,"{""value"": 22.24, ""uomCode"": ""STN""}",18.5,,,,,,,
2026-03-20T16:26:57.663Z,,,False,,,,,1014,"{""value"": 20.7, ""uomCode"": ""STN""}",68,,,,,,,
2026-03-20T13:32:50.015Z,,,False,,,,,1021,"{""value"": 20.03, ""uomCode"": ""STN""}",12,,,,,,,
2026-03-19T20:44:25.909Z,,,False,,,,,HH120,"{""value"": 24.72, ""uomCode"": ""STN""}",28,,,,,,,
2026-03-19T20:44:00.780Z,,,False,,,,,HH130,"{""value"": 25.72, ""uomCode"": ""STN""}",20,,,,,,,
2026-03-19T20:43:04.057Z,,,False,,,,,HH105,"{""value"": 22.24, ""uomCode"": ""STN""}",18.5,,,,,,,
2026-03-18T20:32:18.646Z,,,False,,,,,HH101,"{""value"": 26.22, ""uomCode"": ""STN""}",19.5,,,,,,,
2026-03-18T18:45:41.884Z,,,False,,,,,HH120,"{""value"": 24.72, ""uomCode"": ""STN""}",19.5,,,,,,,
2026-03-18T18:41:28.244Z,,,False,,,,,HH105,"{""value"": 22.24, ""uomCode"": ""STN""}",18.5,,,,,,,
2026-03-18T15:52:39.453Z,,,False,,,,,1717,"{""value"": 25.78, ""uomCode"": ""STN""}",18.5,,,,,,,
2026-03-18T15:49:44.419Z,,,False,,,,,1717,"{""value"": 25.78, ""uomCode"": ""STN""}",18.5,,,,,,,
2026-03-17T17:27:39.423Z,,,False,,,,,HH120,"{""value"": 24.72, ""uomCode"": ""STN""}",28,,,,,,,
2026-03-17T16:52:31.532Z,,,False,,,,,HH120,"{""value"": 24.72, ""uomCode"": ""STN""}",28,,,,,,,
2026-03-17T16:17:12.002Z,,,False,,,,,1021,"{""value"": 17.98, ""uomCode"": ""STN""}",12,,,,,,,
2026-03-16T19:47:34.104Z,,,False,,,,,HH120,"{""value"": 24.72, ""uomCode"": ""STN""}",32,,,,,,,
2026-03-16T18:37:48.703Z,,,False,,,,,1717,"{""value"": 25.78, ""uomCode"": ""STN""}",18.5,,,,,,,
2026-03-16T18:22:40.975Z,,,False,,,,,1717,"{""value"": 25.78, ""uomCode"": ""STN""}",32,,,,,,,
2026-03-16T14:50:16.778Z,,,False,,,,,1021,"{""value"": 20.03, ""uomCode"": ""STN""}",12,,,,,,,
2026-03-16T13:40:31.382Z,,,False,,,,,1717,"{""value"": 25.78, ""uomCode"": ""STN""}",28,,,,,,,
2026-03-13T18:35:09.955Z,,,False,,,,,1717,"{""value"": 25.78, ""uomCode"": ""STN""}",28,,,,,,,
2026-03-13T18:33:16.384Z,,,False,,,,,1717,"{""value"": 25.78, ""uomCode"": ""STN""}",28,,,,,,,
2026-03-13T18:30:25.659Z,,,False,,,,,HH101,"{""value"": 26.22, ""uomCode"": ""STN""}",18.5,,,,,,,
2026-03-13T16:04:18.904Z,,,False,,,,,1021,"{""value"": 20.07, ""uomCode"": ""STN""}",12,,,,,,,
2026-03-13T16:20:48.380Z,,,False,,,,,HH120,"{""value"": 24.72, ""uomCode"": ""STN""}",18.5,,,,,,,
2026-03-13T16:18:33.802Z,,,False,,,,,HH130,"{""value"": 25.72, ""uomCode"": ""STN""}",32,,,,,,,
2026-03-13T15:40:16.866Z,,,False,,,,,1021,"{""value"": 19.97, ""uomCode"": ""STN""}",12,,,,,,,
2026-03-13T16:02:50.291Z,,,False,,,,,1014,"{""value"": 25.74, ""uomCode"": ""STN""}",32,,,,,,,
2026-03-13T15:58:45.749Z,,,False,,,,,HH101,"{""value"": 26.22, ""uomCode"": ""STN""}",18.5,,,,,,,
2026-03-13T15:54:13.562Z,,,False,,,,,1021,"{""value"": 19.99, ""uomCode"": ""STN""}",12,,,,,,,
2026-03-12T18:00:47.802Z,,,False,,,,,1001,"{""value"": 28.92, ""uomCode"": ""STN""}",18.5,,,,,,,
2026-03-12T19:20:28.037Z,,,False,,,,,HH120,"{""value"": 24.72, ""uomCode"": ""STN""}",32,,,,,,,
2025-10-30T14:01:25.852Z,,,False,,,,,1021,"{""value"": 25.2, ""uomCode"": ""STN""}",18.5,,,,,,,
2026-03-12T16:36:11.129Z,,,False,,,,,1021,"{""value"": 19.96, ""uomCode"": ""STN""}",12,,,,,,,
2026-03-12T14:12:05.181Z,,,False,,,,,1021,"{""value"": 20.01, ""uomCode"": ""STN""}",12,,,,,,,
2026-03-12T14:30:34.704Z,,,False,,,,,1021 Agg,"{""value"": 20, ""uomCode"": ""STN""}",12,,,,,,,
2026-03-12T13:46:54.439Z,,,False,,,,,1717,"{""value"": 25, ""uomCode"": ""STN""}",28,,,,,,,
2026-03-11T16:48:58.415Z,,,False,,,,,1717,"{""value"": 25.78, ""uomCode"": ""STN""}",28,,,,,,,
2026-03-11T19:28:38.541Z,,,False,,,,,1014,"{""value"": 25.74, ""uomCode"": ""STN""}",18.5,,,,,,,
2026-03-11T17:41:01.904Z,,,False,,,,,1021,"{""value"": 29.5, ""uomCode"": ""STN""}",55,,,,,,,
2026-03-11T17:34:09.371Z,,,False,,,,,1021,"{""value"": 29.5, ""uomCode"": ""STN""}",55,,,,,,,
2026-03-11T15:43:40.325Z,,,False,,,,,1004,"{""value"": 22.65, ""uomCode"": ""STN""}",18.5,,,,,,,
2026-03-11T17:26:35.456Z,,,False,,,,,1021 Asphalt,"{""value"": 29.5, ""uomCode"": ""STN""}",55,,,,,,,
2026-03-11T16:30:19.002Z,,,False,,,,,1717,"{""value"": 25.78, ""uomCode"": ""STN""}",28,,,,,,,
2026-03-11T16:28:50.680Z,,,False,,,,,1717,"{""value"": 25.78, ""uomCode"": ""STN""}",28,,,,,,,
2026-03-11T14:36:28.013Z,,,False,,,,,HH120,"{""value"": 24.72, ""uomCode"": ""STN""}",19.5,,,,,OPKS,,
2026-03-11T15:45:46.962Z,,,False,,,,,1021 Asphalt,"{""value"": 20.04, ""uomCode"": ""STN""}",12,,,,,,,
2026-03-11T15:37:44.412Z,,,False,,,,,1021 Agg,"{""value"": 20, ""uomCode"": ""STN""}",12,,,,,,,
2026-03-11T15:41:00.832Z,,,False,,,,,1001,"{""value"": 19.99, ""uomCode"": ""STN""}",12,,,,,,,
2026-03-11T15:27:45.279Z,,,False,,,,,1021 Agg,"{""value"": 20, ""uomCode"": ""STN""}",12,,,,,,,
2026-03-06T22:31:21.501Z,,,False,,,,,HH101,"{""value"": 26.22, ""uomCode"": ""STN""}",18.5,,,,,,,
2026-03-06T17:29:14.072Z,,,False,,,,,1001,"{""value"": 26.22, ""uomCode"": ""STN""}",18.5,,,,,,,
2026-03-05T20:58:43.812Z,,,False,,,,,1021 Asphalt,"{""value"": 3.96, ""uomCode"": ""STN""}",12,,,,,,,
2026-03-05T21:51:06.326Z,,,False,,,,,1021 Agg,"{""value"": 20.01, ""uomCode"": ""STN""}",12,,,,,,,
2026-03-05T21:38:25.161Z,,,False,,,,,1021 Agg,"{""value"": 20.02, ""uomCode"": ""STN""}",12,,,,,,,
2026-03-05T21:31:48.546Z,,,False,,,,,HH101,"{""value"": 26.22, ""uomCode"": ""STN""}",32,,,,,,,
2026-03-05T21:18:05.856Z,,,False,,,,,1021 Agg,"{""value"": 19.99, ""uomCode"": ""STN""}",12,,,,,,,
2026-03-05T20:54:55.109Z,,,False,,,,,1021 Asphalt,"{""value"": 20.05, ""uomCode"": ""STN""}",12,,,,,,,
2026-03-05T20:52:59.657Z,,,False,,,,,1021 Agg,"{""value"": 19.96, ""uomCode"": ""STN""}",12,,,,,,,
2026-03-05T20:26:49.257Z,,,False,,,,,1021 Asphalt,"{""value"": 20.04, ""uomCode"": ""STN""}",12,,,,,,,
2026-03-05T19:52:14.115Z,,,False,,,,,HH105,"{""value"": 22.24, ""uomCode"": ""STN""}",32,,,,,,,
2026-03-05T19:41:49.084Z,,,False,,,,,1002,"{""value"": 22.57, ""uomCode"": ""STN""}",18.5,,,,,,,
2026-03-05T19:34:42.834Z,,,False,,,,,1001,"{""value"": 26.22, ""uomCode"": ""STN""}",18.5,,,,,,,
2026-03-05T19:24:55.458Z,,,False,,,,,1001,"{""value"": 26.22, ""uomCode"": ""STN""}",18.5,,,,,,,
2026-03-05T19:11:23.458Z,,,False,,,,,1021 Agg,"{""value"": 19.98, ""uomCode"": ""STN""}",12,,,,,,,
2026-03-05T18:43:15.383Z,,,False,,,,,1021 Agg,"{""value"": 19.97, ""uomCode"": ""STN""}",12,,,,,,,
2026-03-05T18:18:22.576Z,,,False,,,,,1021 Agg,"{""value"": 20.05, ""uomCode"": ""STN""}",12,,,,,,,
2026-03-05T18:11:24.363Z,,,False,,,,,1021 Asphalt,"{""value"": 20.03, ""uomCode"": ""STN""}",12,,,,,,,
2026-03-05T17:48:45.142Z,,,False,,,,,1021 Agg,"{""value"": 9.96, ""uomCode"": ""STN""}",12,,,,,,,
2026-03-05T17:36:27.778Z,,,False,,,,,1021 Agg,"{""value"": 20.06, ""uomCode"": ""STN""}",12,,,,,,,
2026-03-05T17:34:06.260Z,,,False,,,,,1014,"{""value"": 25.74, ""uomCode"": ""STN""}",20,,,,,,,
2026-03-04T23:33:40.018Z,,,False,,,,,1021 Agg,"{""value"": 25.32, ""uomCode"": ""STN""}",28,,,,,,,
2026-03-04T23:14:15.577Z,,,False,,,,,HH105,"{""value"": 22.24, ""uomCode"": ""STN""}",48,,,,,,,
2026-03-04T23:02:10.430Z,,,False,,,,,2385,"{""value"": 26.5, ""uomCode"": ""STN""}",48,,,,,,,
2026-03-04T20:16:54.907Z,,,False,,,,,1021 Agg,"{""value"": 20, ""uomCode"": ""STN""}",12,,,,,,,
2026-03-04T20:09:42.632Z,,,False,,,,,1,"{""value"": 22.5, ""uomCode"": ""STN""}",28,,,,,,,
2026-03-04T19:36:46.552Z,,,False,,,,,1021 Agg,"{""value"": 3.96, ""uomCode"": ""STN""}",12,,,,,,,
2026-03-04T19:34:04.149Z,,,False,,,,,1021 Agg,"{""value"": 20.01, ""uomCode"": ""STN""}",12,,,,,,,
2026-03-04T19:16:47.821Z,,,False,,,,,1014,"{""value"": 20.01, ""uomCode"": ""STN""}",12,,,,,,,
2026-03-04T19:14:25.260Z,,,False,,,,,1021 Asphalt,"{""value"": 20.04, ""uomCode"": ""STN""}",12,,,,,,,
2026-03-04T18:26:29.700Z,,,False,,,,,1021 Agg,"{""value"": 19.96, ""uomCode"": ""STN""}",12,,,,,,,
2026-03-04T17:28:43.767Z,,,False,,,,,1017,"{""value"": 2, ""uomCode"": ""STN""}",12,,,,,,,
2026-03-04T17:14:34.341Z,,,False,,,,,1021 Agg,"{""value"": 20.05, ""uomCode"": ""STN""}",12,,,,,,,
2026-03-04T17:10:28.896Z,,,False,,,,,1021 Agg,"{""value"": 19.98, ""uomCode"": ""STN""}",12,,,,,,,
2026-03-04T17:02:31.840Z,,,False,,,,,1021 Asphalt,"{""value"": 3.97, ""uomCode"": ""STN""}",12,,,,,,,
2026-03-04T16:54:39.114Z,,,False,,,,,1021 Agg,"{""value"": 19.99, ""uomCode"": ""STN""}",12,,,,,,,
2026-03-03T23:41:37.951Z,,,False,,,,,1001,"{""value"": 26.22, ""uomCode"": ""STN""}",32,,,,,,,
2026-03-03T19:16:50.957Z,,,False,,,,,1001,"{""value"": 26.22, ""uomCode"": ""STN""}",18.5,,,,,,,
2026-03-03T22:42:47.936Z,,,False,,,,,1002,"{""value"": 22.57, ""uomCode"": ""STN""}",18.5,,,,,,,
2026-03-03T20:43:24.150Z,,,False,,,,,1021 Agg,"{""value"": 20.02, ""uomCode"": ""STN""}",12,,,,,,,
2026-03-03T19:39:07.482Z,,,False,,,,,HH105,"{""value"": 22.24, ""uomCode"": ""STN""}",32,,,,,,,
2026-03-03T18:39:04.657Z,,,False,,,,,HH101,"{""value"": 26.22, ""uomCode"": ""STN""}",32,,,,,,,
2026-02-24T23:01:44.500Z,,,False,,,,,1001,"{""value"": 26.22, ""uomCode"": ""STN""}",48,,,,,,,
2026-03-03T17:46:38.999Z,,,False,,,,,1021 Agg,"{""value"": 20.03, ""uomCode"": ""STN""}",12,,,,,,,
2026-03-03T16:57:39.880Z,,,False,,,,,1014,"{""value"": 20.07, ""uomCode"": ""STN""}",12,,,,,,,
